""	"X"	"Y"	"Z"
"1"	0.00203665987780041	0.10081466395112	2
"2"	0.0213849287169043	0.144602851323829	2
"3"	0.0580448065173116	0.0885947046843177	2
"4"	0.0753564154786151	0.145621181262729	2
"5"	0.105906313645621	0.104887983706721	3
"6"	0.106924643584521	0.010183299389002	2
"7"	0.110997963340122	0.144602851323829	2
"8"	0.126272912423625	0.132382892057026	3
"9"	0.135437881873727	0.153767820773931	3
"10"	0.145621181262729	0.09979633401222	3
"11"	0.167006109979633	0.15071283095723	3
"12"	0.174134419551935	0.0702647657841141	2
"13"	0.189409368635438	0.112016293279022	1
"14"	0.212830957230143	0.139511201629328	3
"15"	0.217922606924644	0.00916496945010183	2
"16"	0.225050916496945	0.0621181262729124	2
"17"	0.232179226069246	0.109979633401222	1
"18"	0.25152749490835	0.0947046843177189	3
"19"	0.256619144602851	0.0773930753564155	2
"20"	0.260692464358452	0.142566191446029	1
"21"	0.269857433808554	0.103869653767821	3
"22"	0.271894093686354	0.123217922606925	1
"23"	0.287169042769857	0.0753564154786151	2
"24"	0.287169042769857	0.153767820773931	1
"25"	0.308553971486762	0.15173116089613	1
"26"	0.355397148676171	0.0672097759674134	2
"27"	0.364562118126273	0.106924643584521	3
"28"	0.370672097759674	0.152749490835031	3
"29"	0.371690427698574	0	2
"30"	0.372708757637475	0.0712830957230143	2
"31"	0.389002036659878	0.106924643584521	3
"32"	0.39918533604888	0.0661914460285132	2
"33"	0.414460285132383	0.124236252545825	3
"34"	0.423625254582485	0.0794297352342159	2
"35"	0.442973523421589	0.0397148676171079	2
"36"	0.44908350305499	0.141547861507128	3
"37"	0.456211812627291	0.0977596741344195	3
"38"	0.475560081466395	0.133401221995927	2
"39"	0.493890020366599	0.104887983706721	3
"40"	0.496945010183299	0.044806517311609	2
"41"	0.496945010183299	0.065173116089613	2
"42"	0.509164969450102	0.0784114052953157	3
"43"	0.510183299389002	0.121181262729124	2
"44"	0.514256619144603	0.0407331975560081	2
"45"	0.528513238289206	0.0162932790224033	2
"46"	0.54989816700611	0.0661914460285132	2
"47"	0.558044806517312	0.0224032586558045	2
"48"	0.565173116089613	0.152749490835031	2
"49"	0.571283095723014	0.127291242362525	2
"50"	0.577393075356415	0.0407331975560081	2
"51"	0.585539714867617	0.109979633401222	2
"52"	0.594704684317719	0.0122199592668024	2
"53"	0.59877800407332	0.134419551934827	2
"54"	0.604887983706721	0.0488798370672098	2
"55"	0.625254582484725	0.154786150712831	2
"56"	0.634419551934827	0.0682281059063136	2
"57"	0.640529531568228	0.0203665987780041	2
"58"	0.670061099796334	0.0580448065173116	2
"59"	0.671079429735234	0.124236252545825	2
"60"	0.675152749490835	0.154786150712831	2
"61"	0.692464358452138	0.0875763747454175	2
"62"	0.69857433808554	0.110997963340122	2
"63"	0.703665987780041	0.00712830957230143	2
"64"	0.719959266802444	0.0763747454175153	2
"65"	0.736252545824847	0.102851323828921	2
"66"	0.740325865580448	0.0366598778004073	2
"67"	0.756619144602851	0.128309572301426	3
"68"	0.757637474541752	0.152749490835031	3
"69"	0.773930753564155	0.0285132382892057	2
